class,precision,recall,f1_score,support
focused,1.0,1.0,1.0,12
distracted,0.9090909090909091,0.9090909090909091,0.9090909090909091,11
fatigued,0.7857142857142857,0.9166666666666666,0.8461538461538461,12
overloaded,0.8,0.6666666666666666,0.7272727272727273,12
