model,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,reason
random_forest,evaluated,0.8723404255319149,0.8737012987012986,0.8731060606060606,0.8706293706293706,0.8729483282674773,0.8723404255319149,0.8698110400238059,
logistic_regression,evaluated,0.8723404255319149,0.9072398190045249,0.8731060606060607,0.8692023161351655,0.9052661981322808,0.8723404255319149,0.8674325579171699,
knn_5,evaluated,0.851063829787234,0.8670454545454546,0.8503787878787878,0.8506493506493507,0.8680851063829786,0.851063829787234,0.8513401492124896,
knn_3,evaluated,0.851063829787234,0.8547619047619048,0.8484848484848485,0.849478420130594,0.8559270516717326,0.851063829787234,0.8513416894545479,
svm_rbf,evaluated,0.8085106382978723,0.8174242424242424,0.8087121212121212,0.8092937658155049,0.8156673114119921,0.8085106382978723,0.8082757000425828,
svm_linear,evaluated,0.7872340425531915,0.7867132867132868,0.787878787878788,0.7867193675889328,0.7860437434905521,0.7872340425531915,0.786049953746531,
gaussian_naive_bayes,evaluated,0.7446808510638298,0.7548611111111112,0.7424242424242424,0.7418290043290043,0.7543735224586289,0.7446808510638298,0.7427189831445151,
decision_tree,evaluated,0.6382978723404256,0.6303571428571428,0.6306818181818181,0.6193962627786157,0.6331306990881459,0.6382978723404256,0.6250655199341056,
