,precision,recall,f1-score,support
focused,0.2765957446808511,0.6842105263157895,0.3939393939393939,19.0
fatigued,0.8809523809523809,0.6065573770491803,0.7184466019417476,61.0
overloaded,0.7333333333333333,0.5641025641025641,0.6376811594202898,39.0
accuracy,0.6050420168067226,0.6050420168067226,0.6050420168067226,0.6050420168067226
macro avg,0.6302938196555218,0.6182901558225112,0.5833557184338104,119.0
weighted avg,0.7360791124960622,0.6050420168067226,0.6401651800057679,119.0
