experiment,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,multiclass_brier_score,train_rows,test_rows,train_participants,test_participants,train_sessions,test_sessions,fit_runtime_seconds,inference_runtime_seconds,inference_runtime_per_sample_ms
A_emosurv_baseline,0.7288888888888889,0.526431296032625,0.6938463464856142,0.526431296032625,0.5462031248115811,0.6905991443899789,0.7648873402282315,0.4099794940277599,1387,450,66,17,301,83,0.752330300048925,0.16725059994496405,0.3716679998776979
B_sensefuzeai_only,0.95,0.955448717948718,0.9444805194805195,0.955448717948718,0.947873158668497,0.9499264116469187,0.1629055088960934,0.08697325206077305,475,120,1,1,247,62,0.6708748999517411,0.10901120002381504,0.9084266668651253
C_augmented_to_emosurv_test,0.7066666666666667,0.5141863980734414,0.6146174616104021,0.5141863980734412,0.5213774741802841,0.6689569402195231,0.7950852000133376,0.428843020297069,1862,450,67,17,548,83,0.7603787999833003,0.14384019991848618,0.31964488870774704
D_emosurv_to_sensefuzeai,0.4,0.45,0.1971595655806182,0.45,0.27231715652768285,0.2489131920710868,1.4976374533952523,0.785832394374273,1387,120,66,1,301,62,0.7178453999804333,0.13112219993490726,1.0926849994575605
E_augmented_to_sensefuzeai_test,0.9583333333333334,0.9618589743589744,0.9547619047619047,0.9618589743589744,0.956999773708911,0.9582970119737503,0.21354105406742635,0.10608040424122216,1862,120,67,1,548,62,0.7377376001095399,0.1191216999432072,0.9926808328600601
F_sensefuzeai_to_emosurv,0.17555555555555555,0.3085163652024117,0.14651823116595325,0.3085163652024117,0.19019001330624696,0.11168534798676155,4.798246397265179,1.2046753460590143,475,450,1,17,247,83,0.5209096999606118,0.11804229998961091,0.26231622219913536
