model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std
svm_rbf,0.9354309888947647,0.036710367885841116,0.9351280955298492,0.03695624189407597
random_forest,0.9290322580645161,0.05455333717834763,0.9286789184528093,0.05460243242567913
xgboost,0.9064516129032258,0.06642342026443225,0.906881489477961,0.06581082573654742
lightgbm,0.9064516129032258,0.06403042981057809,0.9068326278837958,0.06372384697395934
catboost,0.9063987308302485,0.05888437229045601,0.9060982454183233,0.05914420834744076
