model,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,reason
knn_5,evaluated,0.9809119830328739,0.9757756086469008,0.9700555781564462,0.9727871860895434,0.980956277015713,0.9809119830328739,0.9808810723233379,
knn_3,evaluated,0.9809119830328739,0.9711065420145217,0.9721848989031279,0.9715932752110026,0.9810532166537583,0.9809119830328739,0.980936956843556,
logistic_regression,evaluated,0.9777306468716861,0.9687394053236817,0.9735042932794797,0.9710654676447191,0.9779908520329932,0.9777306468716861,0.9777969167451103,
svm_rbf,evaluated,0.9777306468716861,0.9673627675805376,0.9742733142775708,0.9707657792749675,0.9779633468895258,0.9777306468716861,0.9777930618521443,
random_forest,evaluated,0.975609756097561,0.9672862598394514,0.9644679444391163,0.96570840129427,0.9757600168534039,0.975609756097561,0.9755890308347158,
svm_linear,evaluated,0.975609756097561,0.9646790562373881,0.9665972651857981,0.9655464374391314,0.9758297988549588,0.975609756097561,0.9756357411346318,
decision_tree,evaluated,0.9692470837751855,0.9585756722951846,0.9613631595554368,0.9598925412945232,0.9695430999093415,0.9692470837751855,0.9693211529418532,
gaussian_naive_bayes,evaluated,0.9650053022269353,0.9452800425117203,0.9686065165795748,0.9563789188381505,0.9662781247882322,0.9650053022269353,0.9652535977426911,
