class,precision,recall,f1_score,support
focused,0.9915611814345991,0.9894736842105263,0.9905163329820864,475
distracted,0.9660194174757282,0.9851485148514851,0.9754901960784313,202
fatigued,0.9714285714285714,0.9315068493150684,0.951048951048951,73
overloaded,0.9740932642487047,0.9740932642487047,0.9740932642487047,193
