,precision,recall,f1-score,support
focused,0.8691304347826087,0.907811080835604,0.8880497556641492,2202.0
distracted,0.9220532319391636,0.5801435406698564,0.7121879588839941,836.0
fatigued,0.0,0.0,0.0,187.0
overloaded,0.6397306397306397,0.9632446134347274,0.768841679312089,789.0
accuracy,0.8081714000996513,0.8081714000996513,0.8081714000996513,0.8081714000996513
macro avg,0.607728576613103,0.612799808735047,0.592269848465058,4014.0
weighted avg,0.7945712989636073,0.8081714000996513,0.7866195268003772,4014.0
