,precision,recall,f1-score,support
focused,1.0,0.9641235240690281,0.9817341040462427,2202.0
distracted,0.9658823529411765,0.9820574162679426,0.9739027283511269,836.0
fatigued,0.8025751072961373,1.0,0.8904761904761904,187.0
overloaded,0.969059405940594,0.9923954372623575,0.9805886036318097,789.0
accuracy,0.9750871948181365,0.9750871948181365,0.9750871948181365,0.9750871948181365
macro avg,0.934379216544477,0.9846440943998321,0.9566754066263423,4014.0
weighted avg,0.9776151129572321,0.9750871948181365,0.9756264658435262,4014.0
