class,precision,recall,f1_score,support
focused,1.0,0.9705215419501134,0.9850402761795167,441
distracted,0.9704142011834319,0.9820359281437125,0.9761904761904762,167
fatigued,0.8604651162790697,1.0,0.925,37
overloaded,0.9631901840490797,0.9936708860759493,0.9781931464174455,158
