model,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,reason
svm_linear,evaluated,0.9788293897882939,0.9485173753778955,0.9865570890424438,0.9661059746968597,0.9801748816683853,0.9788293897882939,0.9790860379239512,
logistic_regression,evaluated,0.9763387297633873,0.9305949024971159,0.9844079171373948,0.9537192021410172,0.9795751841288852,0.9763387297633873,0.9771239818670195,
svm_rbf,evaluated,0.9464508094645081,0.8780824375107339,0.9344553083968465,0.90218568667857,0.9523305883974512,0.9464508094645081,0.9482469498461,
random_forest,evaluated,0.9327521793275217,0.8972303013442254,0.8371789292312622,0.8608603023187659,0.9304182741293576,0.9327521793275217,0.9302921322537568,
knn_5,evaluated,0.9190535491905355,0.8759152172613711,0.8231733915808804,0.8457641019717487,0.9171921600554612,0.9190535491905355,0.9168671292820272,
knn_3,evaluated,0.9215442092154421,0.8887556984695538,0.8158184470054402,0.8444659735060599,0.91919499545758,0.9215442092154421,0.9184430173787833,
decision_tree,evaluated,0.8841843088418431,0.7944720193391598,0.8220721278159747,0.8050070314070846,0.8903521103678117,0.8841843088418431,0.8858782735766622,
gaussian_naive_bayes,evaluated,0.8418430884184309,0.7987508600689615,0.6633475266367709,0.7096141921368483,0.8468992176862589,0.8418430884184309,0.8302508948854017,
