,precision,recall,f1-score,support
focused,1.0,1.0,1.0,20.0
distracted,0.9583333333333334,1.0,0.9787234042553191,23.0
fatigued,1.0,0.9,0.9473684210526315,20.0
overloaded,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
accuracy,0.9625,0.9625,0.9625,0.9625
macro avg,0.9618055555555556,0.9602941176470587,0.9600943848984161,80.0
weighted avg,0.9644097222222223,0.9625,0.9625107982722764,80.0
