,precision,recall,f1-score,support
focused,0.3793103448275862,0.5789473684210527,0.4583333333333333,38.0
fatigued,1.0,0.28,0.4375,25.0
overloaded,0.3333333333333333,0.3076923076923077,0.32,26.0
accuracy,0.4157303370786517,0.4157303370786517,0.4157303370786517,0.4157303370786517
macro avg,0.5708812260536399,0.3888798920377868,0.4052777777777778,89.0
weighted avg,0.5402298850574713,0.4157303370786517,0.41206928838951307,89.0
