,precision,recall,f1-score,support
focused,0.997895622895623,0.997895622895623,0.997895622895623,2376.0
distracted,0.9930966469428008,0.9960435212660732,0.994567901234568,1011.0
fatigued,0.9916666666666667,0.9861878453038674,0.9889196675900277,362.0
overloaded,0.9948078920041536,0.9937759336099585,0.99429164504411,964.0
accuracy,0.995756418417144,0.995756418417144,0.995756418417144,0.995756418417144
macro avg,0.994366707127311,0.9934757307688805,0.9939187091910822,4713.0
weighted avg,0.9957561746837491,0.995756418417144,0.9957551906722386,4713.0
