model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std
random_forest,0.9903225806451612,0.0129032258064516,0.9902615885063704,0.013010096082027621
logistic_regression,0.9870967741935484,0.0064516129032258,0.9871675599150571,0.006419595879536069
svm_rbf,0.9870967741935484,0.012069862537980446,0.9870222990601842,0.012171422159321245
knn,0.9709148598625067,0.012013661768288443,0.9707918256796095,0.012157733059861389
gaussian_naive_bayes,0.964516129032258,0.021397579292615494,0.9645240784401535,0.02161763208571127
decision_tree,0.9644632469592809,0.018755326310662953,0.9644824847473625,0.018818154106107217
