,precision,recall,f1-score,support
focused,0.8888888888888888,0.38095238095238093,0.5333333333333333,21.0
distracted,0.6060606060606061,0.9090909090909091,0.7272727272727273,22.0
fatigued,1.0,0.3,0.46153846153846156,20.0
overloaded,0.5,0.9411764705882353,0.6530612244897959,17.0
accuracy,0.625,0.625,0.625,0.625
macro avg,0.7487373737373737,0.6328049401578814,0.5938014366585795,80.0
weighted avg,0.75625,0.625,0.594160125588697,80.0
