,precision,recall,f1-score,support
focused,0.0,0.0,0.0,245.0
distracted,0.1615720524017467,0.3425925925925926,0.2195845697329377,108.0
fatigued,0.15584415584415584,0.5581395348837209,0.2436548223350254,43.0
overloaded,0.26865671641791045,0.3333333333333333,0.2975206611570248,54.0
accuracy,0.17555555555555555,0.17555555555555555,0.17555555555555555,0.17555555555555555
macro avg,0.14651823116595325,0.3085163652024117,0.19019001330624696,450.0
weighted avg,0.08590787343834336,0.17555555555555555,0.11168534798676155,450.0
