model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,runtime_seconds
balanced_random_forest,0.7288888888888889,0.6938463464856142,0.526431296032625,0.5462031248115811,0.7157228931307621,0.7288888888888889,0.6905991443899789,0.7478678999468684
baseline_random_forest,0.7444444444444445,0.785013756864337,0.5197953470794002,0.5214075287014543,0.7663799400361087,0.7444444444444445,0.6900741967673768,0.43893660011235625
