feature_group,permutation_macro_f1_mean,permutation_macro_f1_std,repeats_completed
keystroke_only,0.2205905874125663,0.025744908216315556,5
text_only,0.24141830668011904,0.01976349615895234,5
audio_only,0.22989219828984492,0.03194549754048453,5
image_only,0.22716125801527715,0.02912436235157331,5
multimodal_all,0.23694259651188979,0.024130567671583072,5
