model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,runtime_seconds,status
logistic_regression,0.75,0.7619047619047619,0.75,0.7340647098711615,0.7340647098711615,0.1307474001077935,evaluated
svm_linear,0.71875,0.7090277777777778,0.71875,0.7042326546003017,0.7042326546003017,0.1770581000018865,evaluated
svm_rbf,0.765625,0.7723214285714286,0.765625,0.752629173290938,0.752629173290938,0.37142159999348223,evaluated
random_forest,0.859375,0.8838489409141582,0.859375,0.8584533282809145,0.8584533282809145,0.4186557999346405,evaluated
