,precision,recall,f1-score,support
focused,0.6956521739130435,1.0,0.8205128205128205,16.0
distracted,1.0,1.0,1.0,16.0
fatigued,0.9230769230769231,0.75,0.8275862068965517,16.0
overloaded,0.9166666666666666,0.6875,0.7857142857142857,16.0
accuracy,0.859375,0.859375,0.859375,0.859375
macro avg,0.8838489409141582,0.859375,0.8584533282809145,64.0
weighted avg,0.8838489409141582,0.859375,0.8584533282809145,64.0
