model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std
svm_rbf,0.8510840824960338,0.042724460626674454,0.8495743781889334,0.044217980178676196
random_forest,0.8444738233738762,0.03583805249433775,0.8447346835698273,0.03515791685675573
xgboost,0.8443151771549445,0.0716290362593427,0.8434333292924538,0.07126701032989513
lightgbm,0.8314648334214703,0.04971859896441197,0.8272881598842389,0.05082207879649525
logistic_regression,0.81216287678477,0.034095857522814,0.8095743063598851,0.03636055514792334
