label,audio_focused_prob,audio_distracted_prob,audio_fatigued_prob,audio_overloaded_prob,source_modality,image_focused_prob,image_distracted_prob,image_fatigued_prob,image_overloaded_prob,keystroke_focused_prob,keystroke_distracted_prob,keystroke_fatigued_prob,keystroke_overloaded_prob,text_focused_prob,text_distracted_prob,text_fatigued_prob,text_overloaded_prob,has_audio,has_image,has_keystroke,has_text
distracted,0.042691430815174104,0.6005671202044072,0.10256513619051891,0.25417631278990077,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.0276995701814957,0.5439675917150066,0.28678631997764775,0.14154651812585062,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.14356603656107153,0.6418369666112931,0.13332582203099058,0.08127117479664524,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.0006707317073170732,0.6747091104321098,0.10412764847472171,0.2204925093858518,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.011382985067949065,0.7419851299490221,0.14284438837574134,0.10378749660728759,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.015820291382723235,0.6385065747591894,0.17611824043751192,0.16955489342057614,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.04093340916363557,0.8770217575441063,0.046388162371023785,0.03565667092123446,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.05547713415638146,0.8486379654155308,0.057362391945030934,0.038522508483056876,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.044620034280705226,0.7514239679929046,0.10295763548830866,0.10099836223808173,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.0184231869898418,0.6810244919592386,0.09595763060243244,0.20459469044848744,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.013696245522034344,0.528821957143259,0.16459267794466603,0.2928891193900412,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.16161587205140893,0.7361362834400625,0.06395838866011196,0.038289455848417,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.3248116987225881,0.5912421883554602,0.07214273820714324,0.01180337471480891,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.04820968881233973,0.8298149635179796,0.07771866858345249,0.04425667908622823,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.013335620031532136,0.6849389549844762,0.16952435712087494,0.13220106786311672,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.05133437876872301,0.6605880284533303,0.1438777790223266,0.14419981375562035,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.010570783918848362,0.8444308024353837,0.0635000755696367,0.08149833807613119,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.017467995039454218,0.671595633476984,0.15541017093364448,0.1555262005499174,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.01173811020797212,0.7768572103978835,0.14460763276920421,0.06679704662493983,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.06241610316495598,0.8679075988670195,0.061599738047723805,0.008076559920300673,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.015600341410944659,0.36703288295511266,0.16145044682710954,0.4559163288068332,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.014925884667276632,0.45891693543637835,0.2770350578936858,0.2491221220026598,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.04219286443483384,0.809743188945521,0.09884147735408509,0.04922246926556006,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.008763877079137764,0.590665775619385,0.201483012040927,0.199087335260551,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.02038236261646402,0.5310653382017463,0.20058315757034845,0.24796914161144193,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.11226800114324301,0.7004215860380617,0.06316793597136958,0.12414247684732593,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.029947302830692545,0.2187082946536985,0.4574139684794116,0.29393043403619684,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.008710449765048109,0.7268478219878867,0.1330200666870085,0.13142166156005722,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.01918871018298746,0.6786677836262973,0.07685457965494041,0.2252889265357754,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.04705785459844821,0.5716135178970859,0.25398581120477887,0.12734281629968766,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.02258244510703045,0.8028880195258356,0.07889909788301722,0.09563043748411662,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.014765987510998174,0.7596081449640099,0.11261204305207229,0.11301382447291963,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.019242083249495175,0.4953881404411973,0.18182252577604038,0.30354725053326775,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.02109966217550543,0.7505650533593855,0.09542177032872354,0.1329135141363862,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.025388476949175797,0.5207661221599363,0.08771115697747893,0.36613424391340976,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.019205154205477193,0.7965842460546906,0.1184730492295053,0.06573755051032704,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.08807858292602005,0.6213307819844991,0.16604787733889054,0.1245427577505905,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.020709168998815794,0.3230656071818234,0.25118958288058096,0.4050356409387799,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.010931123675334333,0.7424420257557829,0.1479656564274108,0.09866119414147233,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.01721862204598195,0.7315493128285574,0.15214377454035927,0.09908829058510156,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.057262760054027535,0.8638933997328857,0.050490789141291875,0.028353051071795123,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.007211431876874191,0.9185676592059256,0.039458219182832516,0.03476268973436755,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.010493285584090494,0.6964466622464927,0.13453381458797337,0.158526237581444,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.0896335748910015,0.642746172420924,0.2037716849795836,0.06384856770849134,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.08515961323646493,0.8350348426718338,0.04474380277470319,0.03506174131699818,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.016369614492355865,0.6459414365561919,0.2433376016611461,0.09435134729030642,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.013954598175145012,0.6541652899664941,0.046032617940992566,0.285847493917369,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.00301735427102681,0.8182760243919792,0.056433398434002996,0.12227322290299074,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.011497711581866353,0.7210995909627328,0.09705781952618169,0.17034487792921918,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.004034414432258489,0.7577542006402841,0.060802236632833434,0.17740914829462417,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.019362239314346233,0.8883054420617448,0.0631823904260812,0.029149928197827746,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.04359279910239847,0.7389169656248022,0.13361442356196845,0.08387581171083092,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.05469194568422566,0.8263040619942881,0.06041349221690708,0.05859050010457914,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.0765559955443326,0.7329473443143009,0.10979352853524038,0.08070313160612633,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.040965207499435254,0.6942744314760653,0.14134635349037372,0.12341400753412607,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.022285678170748724,0.9393685013077097,0.011703393987752131,0.02664242653378984,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.027090245874553658,0.9528904092211613,0.016245398969857546,0.003773945934427543,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.009022413664503617,0.4812795152362383,0.2553763605100933,0.25432171058916525,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.025912690620841283,0.5195111663167473,0.1682848322240746,0.2862913108383383,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.05292816208377758,0.4391346660740814,0.15174051442331538,0.35619665741882617,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.18096288098215796,0.6927819539365739,0.05504779406183432,0.07120737101943425,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.530947915454923,0.3777185247571494,0.07008990409892109,0.02124365568900601,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.11240181376801814,0.8011831821900859,0.05280187716354074,0.03361312687835539,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.03525251715363466,0.459981190800322,0.3700197987369376,0.13474649330910585,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.04449682484829099,0.7361748955223796,0.05491706750807743,0.16441121212125198,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.012087702875208488,0.6001213535343788,0.10920316199328955,0.27858778159712333,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.024129034778290842,0.5868843259227212,0.21098593489134682,0.17800070440764196,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.02515029478553221,0.6422300847850632,0.14199200606657725,0.19062761436282794,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.020183029958170944,0.8736141764263172,0.05829575976784634,0.047907033847665606,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.02711416402318368,0.6066044606954759,0.15298011613638784,0.21330125914495301,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.014653569973253377,0.7523791084783698,0.12369860091929051,0.1092687206290868,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.022795039729733953,0.37258540490791786,0.27914780686472523,0.3254717484976231,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.03294118008767781,0.7750123155368666,0.13527048015162982,0.05677602422382581,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.038020819835978215,0.7500259221560053,0.1406744514425971,0.07127880656541988,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.04751321954815666,0.3568609462099822,0.35330620690726333,0.24231962733459805,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.001850165489047247,0.6465332849769996,0.2576872914266293,0.09392925810732503,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.02240097411659008,0.8330530836311,0.08053618566998999,0.06400975658232008,audio,,,,,,,,,,,,,1,0,0,0
distracted,0.0031868184616399915,0.9513082211181787,0.027857765776868798,0.017647194643312415,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.005836454429464628,0.11075483691663734,0.2797980051344951,0.6036107035194029,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.08151542403826299,0.10485842900683631,0.7319238325842641,0.08170231437063649,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.14091913684698246,0.07040645406346017,0.714918467447949,0.07375594164160819,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.5321409833032241,0.053501206022121744,0.3988204123006704,0.015537398373983739,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.04219469436501771,0.2139177978616496,0.4188058752014406,0.32508163257189177,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.014611561653626474,0.10465937496520407,0.7002813881815978,0.18044767519957156,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.07588466013268505,0.1572081088745511,0.548408595372193,0.2184986356205709,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.0755049897778576,0.14220280215759076,0.4124896746960146,0.3698025333685371,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.024420772743922084,0.229882628960746,0.5935266444861932,0.15216995380913864,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.014768949771689497,0.08865874184213043,0.7687726682146668,0.12779964017151318,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.010457601529322715,0.09860833696893022,0.7024874815293841,0.188446579972363,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.015419107564347532,0.07064356612619642,0.7452909995248705,0.16864632678458524,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.03965701480411574,0.06165988250992465,0.6833668702902783,0.21531623239568118,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.001,0.10197471248251669,0.7647259178760524,0.1322993696414308,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.01883685626772487,0.2436568308049957,0.2673531789693013,0.47015313395797786,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.14003190694948595,0.24799909707537574,0.5529730772428474,0.05899591873229033,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.007847073855305602,0.133947055769035,0.7288721892646635,0.12933368111099572,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.047292101141194906,0.06822687500942108,0.7721204474354285,0.11236057641395525,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.0045425076452599395,0.10790409613744063,0.7602595085106141,0.1272938877066853,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.004482926829268293,0.1441112028621594,0.6947394419031855,0.15666642840538633,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.011692610296554263,0.07980791719016006,0.8419057952502359,0.06659367726304967,audio,,,,,,,,,,,,,1,0,0,0
fatigued,0.024536891891477668,0.08919631462023254,0.8019467484438875,0.08432004504440221,audio,,,,,,,,,,,,,1,0,0,0
