,precision,recall,f1-score,support
focused,0.7384105960264901,0.9102040816326531,0.8153564899451554,245.0
distracted,0.7226890756302521,0.7962962962962963,0.7577092511013216,108.0
fatigued,0.7142857142857143,0.23255813953488372,0.3508771929824561,43.0
overloaded,0.6,0.16666666666666666,0.2608695652173913,54.0
accuracy,0.7288888888888889,0.7288888888888889,0.7288888888888889,0.7288888888888889
macro avg,0.6938463464856142,0.526431296032625,0.5462031248115811,450.0
weighted avg,0.7157228931307621,0.7288888888888889,0.6905991443899789,450.0
