experiment,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,multiclass_brier_score,train_rows,test_rows,train_participants,test_participants,train_sessions,test_sessions,fit_runtime_seconds,inference_runtime_seconds,inference_runtime_per_sample_ms
A_emosurv_baseline,0.6050420168067226,0.6182901558225112,0.6302938196555218,0.6182901558225112,0.5833557184338104,0.6401651800057679,0.9014739269235361,0.5242215756124511,453,119,44,12,126,31,0.5614343000343069,0.1257315999828279,1.0565680670825874
B_sensefuzeai_only,0.9775280898876404,0.9824561403508771,0.9761904761904763,0.9824561403508771,0.9786453119786453,0.9776405619102247,0.06762847842346421,0.037933486463383376,352,89,1,1,185,47,0.5875651000533253,0.1060038999421522,1.1910550555298
C_augmented_to_emosurv_test,0.5798319327731093,0.5988141855268688,0.5842142353770261,0.5988141855268688,0.558588365039978,0.6031549096065226,0.9723775679304564,0.5488199269720719,805,119,45,12,311,31,0.6716165000107139,0.11790050007402897,0.9907605048237729
D_emosurv_to_sensefuzeai,0.4157303370786517,0.3888798920377868,0.5708812260536399,0.3888798920377868,0.4052777777777778,0.41206928838951307,1.0571983557029336,0.6894857520505421,453,89,44,1,126,47,0.5643418999388814,0.10219700005836785,1.1482808995322231
E_augmented_to_sensefuzeai_test,0.9775280898876404,0.9824561403508771,0.9761904761904763,0.9824561403508771,0.9786453119786453,0.9776405619102247,0.07931026069229179,0.03279101394342242,805,89,45,1,311,47,0.6655034000286832,0.10494349990040064,1.1791404483191084
F_sensefuzeai_to_emosurv,0.5294117647058824,0.3966652655177245,0.3432156340217633,0.3966652655177245,0.36623376623376624,0.48156717232347485,2.5735537225600034,0.7349465024917247,352,119,1,12,185,31,0.4939106000820175,0.08119820000138134,0.6823378151376583
