iter	MultiClass
0	1.309989411
1	1.232222111
2	1.168250709
3	1.104402731
4	1.052752554
5	1.01473735
6	0.9827352546
7	0.929750498
8	0.9023521876
9	0.861569906
10	0.8344244556
11	0.8081939379
12	0.7813337531
13	0.7551586385
14	0.7255253335
15	0.695358711
16	0.6687742219
17	0.6464401084
18	0.6292901928
19	0.6105374813
20	0.587318352
21	0.5695278064
22	0.5466659251
23	0.5265119431
24	0.506591646
25	0.4880468463
26	0.4696819367
27	0.4553399406
28	0.4408929128
29	0.4235464209
30	0.4080434964
31	0.3967916162
32	0.3853621331
33	0.3715651218
34	0.3583957456
35	0.3461347753
36	0.3349256472
37	0.3228970027
38	0.31239588
39	0.3047799058
40	0.2974358638
41	0.2893061464
42	0.2804007717
43	0.2737779112
44	0.265818179
45	0.2596652022
46	0.2528590815
47	0.246947212
48	0.2397777016
49	0.2348011908
50	0.2307672085
51	0.2247312258
52	0.2210590564
53	0.2140879672
54	0.2080928332
55	0.2015304389
56	0.1968322566
57	0.1919052652
58	0.1884575187
59	0.1843487739
60	0.1799994036
61	0.1772190801
62	0.1734732574
63	0.1689424639
64	0.1651632272
65	0.1620682408
66	0.1591388441
67	0.156105075
68	0.1523814111
69	0.1493643972
70	0.1459986252
71	0.1424717459
72	0.1401484148
73	0.138288718
74	0.1358116758
75	0.1320417939
76	0.1292214776
77	0.1272003573
78	0.1247031713
79	0.1227049421
80	0.1202740397
81	0.1171819215
82	0.1152591313
83	0.1130657515
84	0.1108113623
85	0.10886136
86	0.1071341421
87	0.1057778252
88	0.103242967
89	0.1015215815
90	0.1001592229
91	0.0985503014
92	0.09700431892
93	0.095163253
94	0.09407638409
95	0.09226163895
96	0.09088493772
97	0.08918298454
98	0.08739957549
99	0.08598578764
