candidate,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
random_forest,evaluated,0.967741935483871,0.9583333333333334,0.975,0.9641148325358851,0.9731182795698925,0.967741935483871,0.96835931470906
svm_linear,evaluated,0.9354838709677419,0.9285714285714286,0.95,0.9305555555555556,0.9539170506912443,0.9354838709677419,0.9372759856630825
svm_rbf,evaluated,0.9354838709677419,0.9583333333333334,0.9,0.9147727272727273,0.946236559139785,0.9354838709677419,0.9303519061583577
logistic_regression,evaluated,0.9032258064516129,0.8888888888888888,0.8999999999999999,0.8923444976076556,0.9103942652329748,0.9032258064516129,0.9050779441271801
gaussian_naive_bayes,evaluated,0.9032258064516129,0.9267676767676768,0.875,0.8870798319327732,0.9126751384815901,0.9032258064516129,0.8984142043914339
decision_tree,evaluated,0.8387096774193549,0.85625,0.8625,0.8346979817568052,0.8879032258064515,0.8387096774193549,0.8403129655501572
knn_3,evaluated,0.8064516129032258,0.8238636363636365,0.78125,0.7837863890495469,0.8306451612903226,0.8064516129032258,0.7998532310926199
knn_5,evaluated,0.8064516129032258,0.8238636363636365,0.78125,0.7837863890495469,0.8306451612903226,0.8064516129032258,0.7998532310926199
