,precision,recall,f1-score,support
focused,0.5079365079365079,1.0,0.6736842105263158,32.0
distracted,0.2807017543859649,0.8,0.4155844155844156,20.0
fatigued,0.0,0.0,0.0,29.0
overloaded,0.0,0.0,0.0,39.0
accuracy,0.4,0.4,0.4,0.4
macro avg,0.1971595655806182,0.45,0.27231715652768285,120.0
weighted avg,0.18223336118072958,0.4,0.2489131920710868,120.0
