stage,n,mean_ms,sd_ms,median_ms,p95_ms,min_ms,max_ms
Cold application/model initialisation,5,8388.621519999999,1259.2827177757713,8209.4268,10258.98858,7086.4727,10723.9142
Keystroke processing,30,0.5131933333333334,0.2960634109255801,0.38755,1.06481,0.2048,1.0853
Text feature extraction,30,41.594866666666675,9.454276703810939,37.2053,60.50798999999999,29.7151,63.0893
Audio feature extraction,30,906.6674766666667,809.159187353867,710.8251,2191.56573,92.1572,2206.8694
Visual feature extraction,30,1266.30314,188.75157033943427,1256.16325,1649.1204449999996,1027.869,1718.1276
Fusion/classifier,30,134.62655666666663,29.421267764999328,128.90255000000002,194.574705,100.0373,239.6304
Warm end-to-end processing,30,2501.147926666666,824.5980902924681,2174.8530499999997,3830.7213899999997,1503.0502,3912.4931
